,name,psnr,ssim
0,kodim01.png,17.44150143982707,0.38632393
1,kodim02.png,18.10258343395375,0.19203353
2,kodim03.png,17.538414439731927,0.37356436
3,kodim04.png,17.593049505520842,0.34782878
4,kodim05.png,17.4900504556846,0.5037635
5,kodim06.png,17.52399122182972,0.25293514
6,kodim07.png,17.453993668418832,0.417315
7,kodim08.png,17.35527188649731,0.567397
8,kodim09.png,17.34899782840141,0.33045387
9,kodim10.png,17.37642194935378,0.31890336
10,kodim11.png,17.629631210269615,0.36865067
11,kodim12.png,17.529071887664543,0.28425756
12,kodim13.png,17.467705953531013,0.3861786
13,kodim14.png,17.533760900272963,0.43235525
14,kodim15.png,18.087046878028247,0.45123324
15,kodim16.png,17.539301790633157,0.24465443
16,kodim17.png,17.869030429608213,0.40530476
17,kodim18.png,17.69199752583349,0.33857736
18,kodim19.png,17.471671951398942,0.34375226
19,kodim20.png,18.610479145164685,0.3978152
20,kodim21.png,17.37681962193442,0.35798454
21,kodim22.png,17.460783758490805,0.3114165
22,kodim23.png,17.570326060572093,0.4702699
23,kodim24.png,17.42725887574529,0.42334652
24,Average,17.60371507576528,0.37109646
