,name,psnr,ssim
0,kodim01.png,13.415065672602406,0.22252984
1,kodim02.png,14.133101067928244,0.10168969
2,kodim03.png,13.651085492752662,0.21438141
3,kodim04.png,13.693157647590999,0.20304324
4,kodim05.png,13.866148832909888,0.31453404
5,kodim06.png,13.701023433864194,0.14057036
6,kodim07.png,13.470956797371318,0.23457283
7,kodim08.png,13.574523408143016,0.37184158
8,kodim09.png,13.331035477934819,0.1940762
9,kodim10.png,13.335052594588122,0.17656177
10,kodim11.png,13.655569826152727,0.21152832
11,kodim12.png,13.664568112901234,0.17932366
12,kodim13.png,13.622324695490756,0.22023582
13,kodim14.png,13.819800334178801,0.26027825
14,kodim15.png,14.377872668337986,0.30359367
15,kodim16.png,13.639316331567349,0.12577353
16,kodim17.png,13.98579287627648,0.22793782
17,kodim18.png,14.13524433673607,0.19241433
18,kodim19.png,13.570831626918128,0.2026918
19,kodim20.png,14.48726240717784,0.25496802
20,kodim21.png,13.448671768015997,0.21842583
21,kodim22.png,13.565747875127164,0.17126071
22,kodim23.png,13.807865698481072,0.2986451
23,kodim24.png,13.658940709796827,0.25177446
24,Average,13.733789987201838,0.22052717
