,name,psnr,ssim
0,kodim01.png,20.79797331641551,0.56407076
1,kodim02.png,21.007262354234435,0.31589624
2,kodim03.png,21.165852713970107,0.53923917
3,kodim04.png,20.923722868016142,0.5248841
4,kodim05.png,20.591100849067374,0.6773613
5,kodim06.png,21.52137195064999,0.4264145
6,kodim07.png,20.945312126474995,0.6046023
7,kodim08.png,20.436973130888486,0.73122936
8,kodim09.png,21.070034871137505,0.49145588
9,kodim10.png,21.3295577373429,0.50571
10,kodim11.png,21.201663757089946,0.5300795
11,kodim12.png,21.220724883042212,0.41286936
12,kodim13.png,21.037185833644358,0.5872014
13,kodim14.png,20.799928712137216,0.60830164
14,kodim15.png,20.907226538354337,0.58280706
15,kodim16.png,21.709383486557186,0.42500266
16,kodim17.png,21.57411939123245,0.6097817
17,kodim18.png,21.21574797510987,0.5280275
18,kodim19.png,21.17598323262664,0.51683086
19,kodim20.png,22.04791031006035,0.5638244
20,kodim21.png,21.06242816380803,0.5163348
21,kodim22.png,21.4140922210696,0.5016727
22,kodim23.png,20.60025006743959,0.6137366
23,kodim24.png,21.11109120173414,0.6251767
24,Average,21.119454070504307,0.54177123
